Rk,Team,Attendance
1,Oklahoma City Thunder*,746323
2,Miami Heat*,819290
3,San Antonio Spurs*,755700
4,Los Angeles Clippers*,788293
5,Denver Nuggets*,730616
6,Memphis Grizzlies*,681613
7,New York Knicks*,780353
8,Houston Rockets*,683564
9,Indiana Pacers*,626069
10,Los Angeles Lakers*,778877
11,Golden State Warriors*,794320
12,Brooklyn Nets*,704702
13,Utah Jazz,763915
14,Chicago Bulls*,896944
15,Atlanta Hawks*,620146
16,Dallas Mavericks,821490
17,Boston Celtics*,744960
18,Milwaukee Bucks*,616469
19,Minnesota Timberwolves,669956
20,Toronto Raptors,743936
21,Portland Trail Blazers,813012
22,Washington Wizards,670070
23,New Orleans Hornets,565930
24,Philadelphia 76ers,685412
25,Sacramento Kings,563743
26,Detroit Pistons,606094
27,Cleveland Cavaliers,663882
28,Phoenix Suns,632913
29,Orlando Magic,722716
30,Charlotte Bobcats,628293
