Rk,Team,Attendance
1,Golden State Warriors*,803436
2,San Antonio Spurs*,756445
3,Oklahoma City Thunder*,746323
4,Cleveland Cavaliers*,843042
5,Los Angeles Clippers*,786910
6,Toronto Raptors*,812863
7,Atlanta Hawks*,690150
8,Boston Celtics*,749076
9,Charlotte Hornets*,716894
10,Utah Jazz,791489
11,Indiana Pacers*,690733
12,Miami Heat*,809350
13,Portland Trail Blazers*,794085
14,Detroit Pistons*,677138
15,Houston Rockets*,737244
16,Dallas Mavericks*,825901
17,Washington Wizards,725426
18,Chicago Bulls,894659
19,Orlando Magic,719275
20,Memphis Grizzlies*,701894
21,Sacramento Kings,707526
22,New York Knicks,812292
23,Denver Nuggets,577898
24,Minnesota Timberwolves,581178
25,New Orleans Pelicans,688549
26,Milwaukee Bucks,621808
27,Phoenix Suns,701405
28,Brooklyn Nets,620142
29,Los Angeles Lakers,778877
30,Philadelphia 76ers,614650
